100	1.5211E+003	1.5400E+001	2.3425E+002
105	1.2332E+003	1.5410E+001	1.9003E+002
110	1.0138E+003	1.5410E+001	1.5622E+002
115	8.3266E+002	1.5150E+001	1.2615E+002
120	6.8980E+002	1.5040E+001	1.0375E+002
125	5.7498E+002	1.4990E+001	8.6190E+001
130	4.8140E+002	1.4890E+001	7.1680E+001
135	4.0516E+002	1.4900E+001	6.0369E+001
140	3.4287E+002	1.4910E+001	5.1121E+001
145	2.9175E+002	1.4800E+001	4.3179E+001
150	2.4941E+002	1.4750E+001	3.6788E+001
155	2.1422E+002	1.4590E+001	3.1255E+001
160	1.8462E+002	1.4580E+001	2.6918E+001
165	1.5961E+002	1.4790E+001	2.3607E+001
170	1.3925E+002	1.4550E+001	2.0261E+001
175	1.2142E+002	1.4630E+001	1.7763E+001
180	1.0619E+002	1.4200E+001	1.5080E+001
185	9.3335E+001	1.4490E+001	1.3524E+001
190	8.2254E+001	1.4470E+001	1.1902E+001
195	7.2740E+001	1.4450E+001	1.0511E+001
200	6.4509E+001	1.4410E+001	9.2957E+000
205	5.7228E+001	1.4420E+001	8.2523E+000
210	5.0923E+001	1.4250E+001	7.2565E+000
215	4.5376E+001	1.4340E+001	6.5069E+000
220	4.0594E+001	1.4260E+001	5.7887E+000
225	3.6382E+001	1.4220E+001	5.1735E+000
230	3.2668E+001	1.4160E+001	4.6258E+000
235	2.9316E+001	1.4220E+001	4.1687E+000
240	2.6476E+001	1.4170E+001	3.7517E+000
245	2.3885E+001	1.3950E+001	3.3320E+000
250	2.1595E+001	1.4060E+001	3.0362E+000
255	1.9561E+001	1.3880E+001	2.7151E+000
260	1.7684E+001	1.3950E+001	2.4669E+000
265	1.6112E+001	1.3950E+001	2.2476E+000
270	1.4646E+001	1.3930E+001	2.0402E+000
275	1.3323E+001	1.4250E+001	1.8985E+000
280	1.2158E+001	1.4160E+001	1.7215E+000
285	1.1093E+001	1.4090E+001	1.5629E+000
290	1.0136E+001	1.3900E+001	1.4089E+000
295	9.2900E+000	1.3910E+001	1.2922E+000
300	8.5162E+000	1.3920E+001	1.1854E+000
305	7.8143E+000	1.3900E+001	1.0862E+000
310	7.1788E+000	1.3940E+001	1.0007E+000
315	6.6027E+000	1.3930E+001	9.1975E-001
320	6.0844E+000	1.3800E+001	8.3965E-001
325	5.6047E+000	1.3810E+001	7.7401E-001
330	5.1719E+000	1.3700E+001	7.0855E-001
335	4.7787E+000	1.3760E+001	6.5755E-001
340	4.4163E+000	1.3790E+001	6.0901E-001
345	4.0888E+000	1.3710E+001	5.6058E-001
350	3.7866E+000	1.3690E+001	5.1839E-001
355	3.5091E+000	1.3810E+001	4.8461E-001
360	3.2562E+000	1.3800E+001	4.4935E-001
365	3.0247E+000	1.3710E+001	4.1469E-001
370	2.8077E+000	1.3810E+001	3.8774E-001
375	2.6116E+000	1.3850E+001	3.6171E-001
380	2.4303E+000	1.3700E+001	3.3295E-001
385	2.2637E+000	1.3730E+001	3.1080E-001
390	2.1079E+000	1.3730E+001	2.8941E-001
395	1.9665E+000	1.3470E+001	2.6489E-001
400	1.8354E+000	1.3700E+001	2.5145E-001
405	1.7093E+000	1.3710E+001	2.3434E-001
410	1.6038E+000	1.3550E+001	2.1731E-001
415	1.4980E+000	1.3450E+001	2.0148E-001
420	1.3969E+000	1.3670E+001	1.9095E-001
425	1.3117E+000	1.3500E+001	1.7708E-001
430	1.2259E+000	1.3320E+001	1.6329E-001
435	1.1455E+000	1.3550E+001	1.5522E-001
440	1.0748E+000	1.3720E+001	1.4747E-001
445	1.0102E+000	1.3420E+001	1.3557E-001
450	9.4833E-001	1.3460E+001	1.2765E-001
455	8.9085E-001	1.3460E+001	1.1991E-001
460	8.3676E-001	1.3450E+001	1.1254E-001
465	7.8722E-001	1.3410E+001	1.0557E-001
470	7.4055E-001	1.3410E+001	9.9308E-002
475	6.9708E-001	1.3390E+001	9.3338E-002
480	6.5595E-001	1.3440E+001	8.8160E-002
485	6.1856E-001	1.3370E+001	8.2702E-002
490	5.8247E-001	1.3390E+001	7.7992E-002
495	5.4952E-001	1.3370E+001	7.3471E-002
500	5.1848E-001	1.3380E+001	6.9371E-002
505	4.8932E-001	1.3360E+001	6.5374E-002
510	4.6244E-001	1.3300E+001	6.1504E-002
515	4.3683E-001	1.3370E+001	5.8404E-002
520	4.1283E-001	1.3270E+001	5.4782E-002
525	3.9030E-001	1.3340E+001	5.2066E-002
530	3.6876E-001	1.3380E+001	4.9339E-002
535	3.4871E-001	1.3270E+001	4.6273E-002
540	3.3016E-001	1.3300E+001	4.3911E-002
545	3.1267E-001	1.3280E+001	4.1523E-002
550	2.9613E-001	1.3270E+001	3.9296E-002
555	2.8073E-001	1.3240E+001	3.7169E-002
560	2.6614E-001	1.3190E+001	3.5104E-002
565	2.5156E-001	1.3170E+001	3.3130E-002
570	2.3854E-001	1.3340E+001	3.1821E-002
575	2.2612E-001	1.3270E+001	3.0006E-002
580	2.1456E-001	1.3170E+001	2.8257E-002
585	2.0357E-001	1.3330E+001	2.7135E-002
590	1.9308E-001	1.3200E+001	2.5486E-002
595	1.8360E-001	1.3100E+001	2.4052E-002
600	1.7460E-001	1.3210E+001	2.3065E-002
605	1.6613E-001	1.3020E+001	2.1630E-002
610	1.5824E-001	1.3140E+001	2.0793E-002
615	1.5028E-001	1.3290E+001	1.9972E-002
620	1.4279E-001	1.3060E+001	1.8648E-002
625	1.3637E-001	1.2800E+001	1.7456E-002
630	1.2989E-001	1.3300E+001	1.7275E-002
